,name,location,tweet,friends,followers,status_count,time,device_type,sentiments,text
10,dotuncoker,"lagos, nigeria","rt @nedunaija: sorry to you guys who were heavily invested in the atiku project. you did no wrong. you did your best.

if u followed the pr…",2388,1974,122776,2019-10-30 14:51:33+00:00,android,positive,nedunaija sorry guy heavily invested atiku project wrong best u followed pr
11,RajiOlatunde,none,buhari should stop treating atiku like this. we wee not takit,2073,731,15961,2019-10-30 14:51:35+00:00,android,neutral,buhari stop treating atiku like wee takit
12,PaulYak30647561,nigeria,rt @channelstv: breaking: supreme court dismisses atiku’s appeal. https://t.co/1vjszbyinf https://t.co/2utb7p69wz,264,223,1519,2019-10-30 14:51:35+00:00,iOS,neutral,channelstv breaking supreme court dismisses atiku appeal
13,casanovaguri,none,"rt @giddblog: atiku, pdp lose appeal at supreme court https://t.co/qqmcdyapjg https://t.co/qjt42sc13a",1033,109,20460,2019-10-30 14:51:35+00:00,android,neutral,giddblog atiku pdp lose appeal supreme court
14,Holarlincoln,@stoont_hq ,when pdp guys are supporting the injustice against sowore??? i just laughed!! now na only 10 of them dey talk atiku… https://t.co/huyzhfzlxk,383,386,7586,2019-10-30 14:51:36+00:00,iOS,positive,pdp guy supporting injustice sowore laughed na 10 dey talk atiku
15,Irisali14,abuja nigeria,@thenationnews @atiku @mbuhari https://t.co/zkvoweowfa,453,83,1800,2019-10-30 14:51:37+00:00,other,neutral,thenationnews atiku mbuhari
16,evuleogu,in front of you,"rt @aloyejimakor: atiku’s triple loss- 
at the polls.
at the tribunal.
at the supreme court.
is a prophecy foretold.
by @mazinnamdikanu.
wh…",1113,1312,143255,2019-10-30 14:51:37+00:00,iOS,neutral,aloyejimakor atiku triple loss poll tribunal supreme court prophecy foretold mazinnamdikanu wh
17,dotuncoker,"lagos, nigeria","rt @mobilepunch: breaking: supreme court delivers first ruling against atiku, pdp
https://t.co/w56rxrjdx6
#wednesdaymotivation",2388,1974,122777,2019-10-30 14:51:38+00:00,android,positive,mobilepunch breaking supreme court delivers first ruling atiku pdp wednesdaymotivation
18,freshnewsnowng,nigeria,"‘ultimate judgment comes from god,’ secondus says after supreme court dismisses pdp and atiku’s petitions against b… https://t.co/cdya6zukxv",21,406,140742,2019-10-30 14:51:39+00:00,other,neutral,ultimate judgment come god secondus say supreme court dismisses pdp atiku petition b
19,makegist,africa,atiku vs buhari: pdp hands over case to ‘god’ after losing at supreme court https://t.co/wvczamssa3 https://t.co/maademfnth,63,54,27079,2019-10-30 14:51:40+00:00,other,neutral,atiku v buhari pdp hand case god losing supreme court
20,DokiOoo,none,"rt @william_ukpe: if you're cheering because atiku has lost in the supreme court

let me tell you something about tyranny

it needs blood t…",526,1049,61224,2019-10-30 14:51:42+00:00,iOS,neutral,william ukpe cheering atiku lost supreme court let tell something tyranny need blood
21,samoblah,"rivers, nigeria","rt @mobilepunch: breaking: supreme court dismisses atiku’s appeal, affirms buhari’s election
https://t.co/71ouefn566
#supremecourt 
#wednes…",5000,2115,9809,2019-10-30 14:51:42+00:00,android,neutral,mobilepunch breaking supreme court dismisses atiku appeal affirms buhari election supremecourt wednes
22,KingsleyAnah1,none,"rt @b_in_dk: hahaha...!
those expecting fulani terrorists to allow peaceful revolution to take place peacefully, must learn from the rise &amp;…",108,310,95182,2019-10-30 14:51:43+00:00,android,positive,b dk hahaha expecting fulani terrorist allow peaceful revolution take place peacefully must learn rise amp
23,abd23k,abuja,@isismalls @ogundamisi @atiku na only advice i give u. must u eat rice,356,3502,1766,2019-10-30 14:51:43+00:00,iOS,neutral,isismalls ogundamisi atiku na advice give u must u eat rice
24,Sundayolusoga31,"lagos, nigeria",no right thinking nigeria except anything different from secondus and his co-looters. i pray that everyone who has… https://t.co/i6bsnssu85,161,17,110,2019-10-30 14:51:44+00:00,android,negative,right thinking nigeria except anything different secondus co looter pray everyone
25,haruna_braimoh,nigeria,rt @haruna_braimoh: in view of the final decision of the supreme court throwing out atiku's appeal&amp;the final loss of his constitutional/pol…,725,1884,43092,2019-10-30 14:51:46+00:00,android,neutral,haruna braimoh view final decision supreme court throwing atiku appeal amp final loss constitutional pol
26,Odigwefranklin,"abuja, nigeria","rt @realsolakuti: dear nigerians, the matter don cast. 
pdp cannot save you.
atiku cannot save you.
the judiciary cannot save you.
the legi…",525,244,13702,2019-10-30 14:51:46+00:00,android,neutral,realsolakuti dear nigerian matter cast pdp cannot save atiku cannot save judiciary cannot save legi
27,pedro2ja,"federal capital territory, nig",rt @woye1: sad news: supreme court just delivered first ruling against @atiku . the court overruled atiku’s request that their seven interl…,5158,5451,14803,2019-10-30 14:51:46+00:00,android,negative,woye1 sad news supreme court delivered first ruling atiku court overruled atiku request seven interl
28,SODUNKEEMMANUE1,"lagos, nigeria",https://t.co/qt97zsxnev,179,18,68,2019-10-30 14:51:46+00:00,other,neutral,
29,Jachimma_x,"lagos, nigeria.",rt @demolarewaju: it’s now quite obvious that the farce of a democracy being practised under apc and buhari may not end anytime soon as the…,989,1516,84684,2019-10-30 14:51:46+00:00,iOS,negative,demolarewaju quite obvious farce democracy practised apc buhari may end anytime soon
30,martynlaurens,"lagos, nigeria","rt @chiefojukwu: 10. aggressive stand on corruption. in nigeria once you touch anyone, our people quickly come on social media with hashtag…",1164,908,21856,2019-10-30 14:51:47+00:00,android,positive,chiefojukwu 10 aggressive stand corruption nigeria touch anyone people quickly come social medium hashtag
31,QUALITYMIXTAPE,lagos nigeria,music : slimcase - lamba xtra [mp3 download] #mourinho #mompha #ronaldo #tachxteebillz #atiku #chemun #atiku… https://t.co/vnqv2zewlr,2339,2580,4411,2019-10-30 14:51:49+00:00,other,neutral,music slimcase lamba xtra mp3 download mourinho mompha ronaldo tachxteebillz atiku chemun atiku
32,Darablaqie,"lagos, nigeria","rt @swaaguu_baba: atiku should just go and rest, even if he goes to all the courts in the world he'll just end up being fucked and he won't…",9852,10953,35921,2019-10-30 14:51:49+00:00,android,negative,swaaguu baba atiku go rest even go court world end fucked
33,farryisreal,nigeria,"rt @realsolakuti: dear nigerians, the matter don cast. 
pdp cannot save you.
atiku cannot save you.
the judiciary cannot save you.
the legi…",1990,1397,61780,2019-10-30 14:51:49+00:00,android,neutral,realsolakuti dear nigerian matter cast pdp cannot save atiku cannot save judiciary cannot save legi
34,sammy_adele,none,"rt @mstyma_: some of you will not die well, you kept pushing alhaji atiku and still won’t stop. if he is your father will you want him to w…",284,223,5826,2019-10-30 14:51:50+00:00,android,neutral,mstyma die well kept pushing alhaji atiku still stop father want w
35,mary_jayzee,eko lagos,"rt @swaaguu_baba: atiku should just go and rest, even if he goes to all the courts in the world he'll just end up being fucked and he won't…",588,320,1161,2019-10-30 14:51:51+00:00,android,negative,swaaguu baba atiku go rest even go court world end fucked
36,pedro2ja,"federal capital territory, nig","rt @mobilepunch: breaking: cjn leads supreme court panel on atiku’s appeal
https://t.co/himtyjxlpn
#wednesdaymotivation",5158,5451,14804,2019-10-30 14:51:51+00:00,android,neutral,mobilepunch breaking cjn lead supreme court panel atiku appeal wednesdaymotivation
37,fatairasak555,none,@officialpdpnig should prepare for 2023 and showcase atiku again. they will learn another great lesson https://t.co/cgnzgdjx9q,80,16,88,2019-10-30 14:51:52+00:00,android,positive,officialpdpnig prepare 2023 showcase atiku learn another great lesson
38,Inwabaranaba,none,@i_am_ilemona truly a sad day for corrupt and a happy day for us thank you 🙏 obj for opening atiku’s nyash https://t.co/rjawkhwssv,74,42,1468,2019-10-30 14:51:52+00:00,iOS,negative,ilemona truly sad day corrupt happy day u thank obj opening atiku nyash
39,BengoddyOfLife,benin city,"rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",5003,2536,31072,2019-10-30 14:51:53+00:00,iOS,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
40,AniamakaMartins,nigeria,"ladies and gentlemen, is this 👇 real?",3999,2607,5068,2019-10-30 14:51:55+00:00,android,positive,lady gentleman real
41,jennyofficial99,naija 🇳🇬,a word is enough for the wise ! #wednesdaywisdom #atiku #wednesdaymotivation https://t.co/htuxcduhmr,1578,664,192,2019-10-30 14:51:55+00:00,other,positive,word enough wise wednesdaywisdom atiku wednesdaymotivation
42,aleemo005,9ja ,@ogundamisi @atiku they are waiting to have the comparison with justice in dubai and china 😂,439,299,907,2019-10-30 14:51:56+00:00,android,neutral,ogundamisi atiku waiting comparison justice dubai china
43,signaturetv,none,"breaking: supreme court dismisses atiku’s appeal, affirms buhari’s election https://t.co/l9zvcmzqll",2863,1014,20267,2019-10-30 14:51:56+00:00,other,neutral,breaking supreme court dismisses atiku appeal affirms buhari election
44,AlphaYommex,lagos,"rt @tosinolugbenga: same way apc twitter thinks everyone who criticise buhari's govt  supports atiku/pdp, it's same way pdp twitter thinks…",2485,1778,72787,2019-10-30 14:51:58+00:00,iOS,neutral,tosinolugbenga way apc twitter think everyone criticise buhari govt support atiku pdp way pdp twitter think
45,absolutelerry,inside life.,"my brother where is atiku going sef,i thought we're done with these coming &amp; going of a thing..... supreme court sh… https://t.co/q858ydy0gx",3471,3697,1557,2019-10-30 14:51:58+00:00,android,neutral,brother atiku going sef thought done coming amp going thing supreme court sh
46,chekwubekelvin1,"istanbul, turkey","rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",1504,1182,26041,2019-10-30 14:51:58+00:00,android,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
47,beejaybobo,none,@adekoladammy @atiku @officialpdpnig they are too docile .,983,391,3401,2019-10-30 14:51:58+00:00,other,neutral,adekoladammy atiku officialpdpnig docile
48,pedro2ja,"federal capital territory, nig","rt @mobilepunch: supreme court ruling: only god can bail out nigeria —secondus
https://t.co/ewd3qd7gcm
#atiku 
#nigeria",5158,5451,14805,2019-10-30 14:51:59+00:00,android,neutral,mobilepunch supreme court ruling god bail nigeria secondus atiku nigeria
49,abdullahi_harry,"federal capital territory, nig","rt @hahayatu: now more than ever i believe  atiku is coming, the journey just began

we remain resolute https://t.co/ffv5xx9uru",43,20,340,2019-10-30 14:51:59+00:00,android,positive,hahayatu ever believe atiku coming journey began remain resolute
50,nvwole,"lagos, nigeria","let us concede he cancelled metro line in 1984, 16 yrs of pdp rule with @atiku as vp for 8 yrs should have resuscit… https://t.co/71xvj4cfvg",974,1238,52928,2019-10-30 14:52:01+00:00,iOS,neutral,let u concede cancelled metro line 1984 16 yr pdp rule atiku vp 8 yr resuscit
51,tunisky,lagos,finally atiku is not coming!,299,307,18642,2019-10-30 14:52:04+00:00,other,neutral,finally atiku coming
52,GadoAgency,"abuja, nigeria","efcc vs corruption &gt; atiku vs buhari = pept quick maths 😁
@officialefcc 

#atikuiscoming #riskychallenge… https://t.co/4xxbhxljhb",78,35,187,2019-10-30 14:52:06+00:00,android,positive,efcc v corruption gt atiku v buhari pept quick math officialefcc atikuiscoming riskychallenge
53,Phreesh009,"lagos, nigeria","rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",208,122,492,2019-10-30 14:52:06+00:00,android,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
54,mikedav63784630,none,@ahmadigwe @daily_trust @atiku @mbuhari @officialpdpnig @officialapcng he is coming 👍,809,181,1929,2019-10-30 14:52:07+00:00,android,neutral,ahmadigwe daily trust atiku mbuhari officialpdpnig officialapcng coming
55,Sanee_Abdallah,"yobe, nigeria","rt @daily_trust: president muhammadu buhari and his opponent in the 2019 polls, atiku abubakar are awaiting the decision of the supreme cou…",20,367,10370,2019-10-30 14:52:08+00:00,android,neutral,daily trust president muhammadu buhari opponent 2019 poll atiku abubakar awaiting decision supreme cou
56,edwinagili,"abuja, nigeria","rt @pdp_2023: a very big congratulations to @atiku for fighting for nigeria and nigerians. you gave your best shot.

i have no regrets supp…",1340,1049,21720,2019-10-30 14:52:08+00:00,android,positive,pdp 2023 big congratulation atiku fighting nigeria nigerian gave best shot regret supp
57,flamegurl4eva,none,"rt @eniola_opeyemi: breaking: supreme court dismisses atiku’s appeal

the supreme court has dismissed the appeal filed by pdp and its presi…",396,450,129896,2019-10-30 14:52:09+00:00,other,neutral,eniola opeyemi breaking supreme court dismisses atiku appeal supreme court dismissed appeal filed pdp presi
58,9ja247news,none,photos of oshiomhole exchanging greetings with peter obi and uche secondus as supreme court presides over atiku's a… https://t.co/5etnh6yvyc,75,2,20,2019-10-30 14:52:10+00:00,other,neutral,photo oshiomhole exchanging greeting peter obi uche secondus supreme court presides atiku
59,IntaniaYulita,none,ya allah... ambyar atiku🙄🙄🙄,59,9,193,2019-10-30 14:52:10+00:00,android,neutral,ya allah ambyar atiku
60,mayorbau,none,"rt @jeffphilips1: breaking: server bien, no merci😢😢

supreme court dismisses atiku's appeal against buhari's victory – thecable https://t.c…",1446,1004,69443,2019-10-30 14:52:11+00:00,android,neutral,jeffphilips1 breaking server bien merci supreme court dismisses atiku appeal buhari victory thecable
61,spiderrodeo,all over,"rt @pdp_2023: a very big congratulations to @atiku for fighting for nigeria and nigerians. you gave your best shot.

i have no regrets supp…",4598,1426,6475,2019-10-30 14:52:12+00:00,iOS,positive,pdp 2023 big congratulation atiku fighting nigeria nigerian gave best shot regret supp
62,DJJABTICS,"awka, nigeria","rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",2407,2362,246198,2019-10-30 14:52:12+00:00,android,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
63,haruna_braimoh,nigeria,rt @gottilavida: atiku and mompha are trending....2 yahoo boys https://t.co/ss9epbrzdt,725,1884,43095,2019-10-30 14:52:14+00:00,android,neutral,gottilavida atiku mompha trending 2 yahoo boy
64,DrAli_Abu,"katsina, nigeria","rt @bashirahmaad: the supreme court has dismissed the appeal filed by the peoples democratic party (pdp) and its candidate, atiku abubakar,…",703,432,27589,2019-10-30 14:52:15+00:00,android,neutral,bashirahmaad supreme court dismissed appeal filed people democratic party pdp candidate atiku abubakar
65,HAKINTORLAR,dubai,"rt @ogundamisi: the usual suspects started abusing the supreme court judges yet? or they are waiting for the green light?

so @atiku is no…",2907,517,18043,2019-10-30 14:52:16+00:00,android,negative,ogundamisi usual suspect started abusing supreme court judge yet waiting green light atiku
66,dotuncoker,"lagos, nigeria","rt @jeffphilips1: breaking: server bien, no merci😢😢

supreme court dismisses atiku's appeal against buhari's victory – thecable https://t.c…",2388,1974,122778,2019-10-30 14:52:17+00:00,android,neutral,jeffphilips1 breaking server bien merci supreme court dismisses atiku appeal buhari victory thecable
67,abdoulrahman_i,"lagos, nigeria","rt @fkeyamo: congratulations nigeria! all the lies and deceit have come to a crushing halt. about 7 months ago, i said the substance of the…",989,1113,73671,2019-10-30 14:52:17+00:00,other,positive,fkeyamo congratulation nigeria lie deceit come crushing halt 7 month ago said substance
68,CveNmHDoJQirpIt,everywhere,"rt @tosinolugbenga: same way apc twitter thinks everyone who criticise buhari's govt  supports atiku/pdp, it's same way pdp twitter thinks…",711,261,4084,2019-10-30 14:52:18+00:00,android,neutral,tosinolugbenga way apc twitter think everyone criticise buhari govt support atiku pdp way pdp twitter think
69,Irisali14,abuja nigeria,@og_umaru https://t.co/zkvoweowfa,453,83,1801,2019-10-30 14:52:20+00:00,other,neutral,og umaru
70,isiaq4life,lagos,they know the truth but the love for @atiku dollars wont allow them to tell him and dont be surprised if by tomorro… https://t.co/0oy2ydkcmh,1092,139,8122,2019-10-30 14:52:21+00:00,other,positive,know truth love atiku dollar wont allow tell dont surprised tomorro
71,sekproseslur,"kota surabaya, jawa timur",@melsmoothies @sheikalilyasa_ wis ra kuat dis. ternyata ngajak jalan kamu berdua aja ditolak. ra kuat atiku...,507,1334,23280,2019-10-30 14:52:21+00:00,android,neutral,melsmoothies sheikalilyasa wi ra kuat dis ternyata ngajak jalan kamu berdua aja ditolak ra kuat atiku
72,ChegweEzenwa,"lagos state, nigeria",rt @demolarewaju: it’s now quite obvious that the farce of a democracy being practised under apc and buhari may not end anytime soon as the…,1387,1075,26879,2019-10-30 14:52:22+00:00,android,negative,demolarewaju quite obvious farce democracy practised apc buhari may end anytime soon
73,sammy_adele,none,"rt @adebanqie: shout out to 

1. atiku's lawyers
2. the brain behind non-existent inec server
2. osita, the useless star witness
3. the fak…",284,223,5827,2019-10-30 14:52:24+00:00,android,negative,adebanqie shout 1 atiku lawyer 2 brain behind non existent inec server 2 osita useless star witness 3 fak
74,cynthia_eloho1,bikini bottom,did atiku really stand a chance against pmb's victory seeing the was our judicial system runs.,223,245,431,2019-10-30 14:52:25+00:00,android,positive,atiku really stand chance pmb victory seeing judicial system run
75,Ade_Nurayn,west africa - nigeria,anybody wey commit suicide over atiku matter don over feed ni.,1207,6097,192677,2019-10-30 14:52:25+00:00,android,neutral,anybody wey commit suicide atiku matter feed ni
76,IPO_censored,nigeria,"nigeria army withdraws notice of ""nationwide operation identification"" just immediately the supreme court striked o… https://t.co/kkjxvffyqo",379,198,2583,2019-10-30 14:52:25+00:00,android,neutral,nigeria army withdraws notice nationwide operation identification immediately supreme court striked
77,yesmylo,"abuja, nigeria","rt @merrymanofmen: atiku ya yare dai komao
#atikuisnotcoming #atikuisnotcoming 
#atikuisnotcoming #atikuisnotcoming #atikuisnotcoming #atik…",4355,3363,28669,2019-10-30 14:52:26+00:00,android,neutral,merrymanofmen atiku ya yare dai komao atikuisnotcoming atikuisnotcoming atikuisnotcoming atikuisnotcoming atikuisnotcoming atik
78,Electrabcm,none,"rt @abdulmahmud01: judge who? you guys are the problem. you were busy doing arithmetic permutation of 4 v 3 judges in favour of atiku, when…",466,486,12096,2019-10-30 14:52:27+00:00,android,positive,abdulmahmud01 judge guy problem busy arithmetic permutation 4 v 3 judge favour atiku
79,darkmoneyusa,freedom,rt @haruna_braimoh: in view of the final decision of the supreme court throwing out atiku's appeal&amp;the final loss of his constitutional/pol…,0,1381,61718,2019-10-30 14:52:27+00:00,other,neutral,haruna braimoh view final decision supreme court throwing atiku appeal amp final loss constitutional pol
80,mayorbau,none,"rt @idowu553: breaking...
atiku rejects the supreme court verdict, heads to lawn tennis court. 😛😄",1446,1004,69444,2019-10-30 14:52:27+00:00,android,neutral,idowu553 breaking atiku reject supreme court verdict head lawn tennis court
81,AkibuWaliu,"lagos, nigeria",@daily_trust @atiku @mbuhari it's certain  victory  belong  to government  of incubense.,175,48,2171,2019-10-30 14:52:27+00:00,android,positive,daily trust atiku mbuhari certain victory belong government incubense
82,ewikizAUU,earth,"rt @thecableng: video: this judgement is not about @mbuhari or @atiku, it's about the future of #nigeria, says @peterobi #supremecourt http…",382,1289,122453,2019-10-30 14:52:28+00:00,iOS,neutral,thecableng video judgement mbuhari atiku future nigeria say peterobi supremecourt
83,eleshinleekan,none,atiku is not coming. we knew long ago that nobody is coming anywhere. iscoming lobade 😄,279,189,5209,2019-10-30 14:52:28+00:00,android,negative,atiku coming knew long ago nobody coming anywhere iscoming lobade
84,Olumide13308604,"lagos, nigeria","so this magot just went to the court to be dismissed, aye le oo",454,136,1926,2019-10-30 14:52:28+00:00,android,neutral,magot went court dismissed aye le oo
85,BARACKOFAYZY,"lagos, nigeria",rt @chiefojukwu: in shā allāh is arabic not 'muslim' for 'god willing'. it is only nigerians who mistake the language 'arabic' for 'islam'…,1705,1703,27282,2019-10-30 14:52:29+00:00,android,positive,chiefojukwu sh h arabic muslim god willing nigerian mistake language arabic islam
86,Classykay777,the globe ,"rt @jeffphilips1: atiku is yoruba’s distorted word for i’m dead but some of you were saying that same person was still coming; from where,…",4439,4774,77862,2019-10-30 14:52:30+00:00,android,negative,jeffphilips1 atiku yoruba distorted word dead saying person still coming
87,Iam_danear,3:16,"rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",2381,1109,5749,2019-10-30 14:52:31+00:00,android,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
88,karlheinzbergem,germany ,"breaking: supreme court dismisses atiku’s appeal, affirms buhari’s election https://t.co/1ea0yiypxz via @mobilepunch",2960,482,11809,2019-10-30 14:52:34+00:00,iOS,neutral,breaking supreme court dismisses atiku appeal affirms buhari election via mobilepunch
89,TheFlossaholic,"abuja, nigeria",rt @johannxs: atiku’s lawyers are the ultimate winners. 🤫😉 💵 #atikuisgone,114,1562,8609,2019-10-30 14:52:37+00:00,android,neutral,johannxs atiku lawyer ultimate winner atikuisgone
90,cyntherro,none,rt @ayosogunro: pdp twitter spent the last 4 years insulting everyone who criticised gej's govt or who once supported buhari - instead of b…,1739,2364,41040,2019-10-30 14:52:37+00:00,android,negative,ayosogunro pdp twitter spent last 4 year insulting everyone criticised gej govt supported buhari instead b
91,iamyenum,hidden leaf village,different moral lessons are being dished out after atiku lost the appeal. different moral lessons like nigerians re… https://t.co/vjsm3wqkwj,1767,1706,87621,2019-10-30 14:52:37+00:00,android,neutral,different moral lesson dished atiku lost appeal different moral lesson like nigerian
92,sammy_adele,none,"rt @ogundamisi: the usual suspects started abusing the supreme court judges yet? or they are waiting for the green light?

so @atiku is no…",284,223,5828,2019-10-30 14:52:39+00:00,android,negative,ogundamisi usual suspect started abusing supreme court judge yet waiting green light atiku
93,tohadidas,none,rt @channelstv: breaking: supreme court dismisses atiku’s appeal. https://t.co/1vjszbyinf https://t.co/2utb7p69wz,1110,1119,82655,2019-10-30 14:52:40+00:00,android,neutral,channelstv breaking supreme court dismisses atiku appeal
94,olubilex,lagos,"rt @the_davidatta: i just hope chamberlain, maupe and all other news people and bodies will now face their jobs as journalists and not atik…",512,398,15319,2019-10-30 14:52:41+00:00,android,negative,davidatta hope chamberlain maupe news people body face job journalist atik
95,DolapoAbideen,"lagos, nigeria","rt @dolusegun: osita chidoka when atiku's boys finally find his ass #refundatiku 
 https://t.co/ecgfeksgnq",5335,4886,22080,2019-10-30 14:52:41+00:00,android,neutral,dolusegun osita chidoka atiku boy finally find as refundatiku
96,ElderAdewuyi1,"abuja, nigeria",rt @ade_nurayn: anybody wey commit suicide over atiku matter don over feed ni. https://t.co/510rutl1cs,440,315,7261,2019-10-30 14:52:41+00:00,iOS,neutral,ade nurayn anybody wey commit suicide atiku matter feed ni
97,tunmishe_,none,"rt @osi_suave: it wasnt a tyranny when buhari lost at this supreme court 3 times   

it wasnt a tyranny when the supreme court dropped the…",2082,1741,29877,2019-10-30 14:52:42+00:00,android,neutral,osi suave wasnt tyranny buhari lost supreme court 3 time wasnt tyranny supreme court dropped
98,IgbalodeRealtor,"lagos, nigeria",rt @badmusadewale1: bad news: atiku lost at the supreme court and tennis court#refundatiku,281,307,18003,2019-10-30 14:52:42+00:00,iOS,negative,badmusadewale1 bad news atiku lost supreme court tennis court refundatiku
99,martynlaurens,"lagos, nigeria","rt @chiefojukwu: 12. just four years. while kagame took 15 years to bring small rwanda to where it is today, obasanjo, atiku, jonathan and…",1164,908,21858,2019-10-30 14:52:44+00:00,android,negative,chiefojukwu 12 four year kagame took 15 year bring small rwanda today obasanjo atiku jonathan
100,ChinweOfoha2,nigeria,rt @bitebenin: i am disappointed in @mbuhari. you have ruined our judiciary with your underhanded tactics and history will not be kind to y…,4500,5020,28529,2019-10-30 14:52:44+00:00,android,negative,bitebenin disappointed mbuhari ruined judiciary underhanded tactic history kind
101,Spiceprince,lagos nigeria,"rt @kokomatic: since atiku won via server, can we swear him in as the e-president?

#atikuisnotcoming 
#dubaiconspiracyisover",314,187,190,2019-10-30 14:52:46+00:00,android,neutral,kokomatic since atiku via server swear e president atikuisnotcoming dubaiconspiracyisover
102,ChNnadozie,"abuja, nigeria","gone are the days when judges were held in high esteem and courts dispensed justice. 

the supreme court of buhari… https://t.co/tna3fghm1e",14418,16119,14979,2019-10-30 14:52:47+00:00,android,positive,gone day judge held high esteem court dispensed justice supreme court buhari
103,KingRetweetsL,lagos,"atiku rejects supreme court judgement, heads to port har court.",539,2482,140134,2019-10-30 14:52:48+00:00,other,neutral,atiku reject supreme court judgement head port har court
104,Pyratipzy,creating new problems!,"rt @william_ukpe: if you're cheering because atiku has lost in the supreme court

let me tell you something about tyranny

it needs blood t…",1290,810,19925,2019-10-30 14:52:50+00:00,iOS,neutral,william ukpe cheering atiku lost supreme court let tell something tyranny need blood
105,Ade_Nurayn,west africa - nigeria,rt @chrisadebola: 😂😂 https://t.co/vffpeezryb,1207,6097,192678,2019-10-30 14:52:51+00:00,android,neutral,chrisadebola
106,divaqyn,lagos,"rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",368,468,2918,2019-10-30 14:52:51+00:00,iOS,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
107,dotuncoker,"lagos, nigeria","rt @mobilepunch: supreme court ruling: only god can bail out nigeria —secondus
https://t.co/ewd3qd7gcm
#atiku 
#nigeria",2388,1974,122780,2019-10-30 14:52:51+00:00,android,neutral,mobilepunch supreme court ruling god bail nigeria secondus atiku nigeria
108,hotnikkle,lagos state,rt @dondekojo: you support the person that fired the chief justice of the country because of some hideous tribunal and call his opponent a…,799,884,75584,2019-10-30 14:52:51+00:00,iOS,neutral,dondekojo support person fired chief justice country hideous tribunal call opponent
